sizeMode,symbol,N Rows,Mean(downX),Mean(downY),Std Dev(downX),Std Dev(downY),N(downX),N(downY)
3.5,E,7247,598.8536633,497.2393486,13.313731794,13.965104986,7247,7247
3.5,F,7247,694.24004293,564.48730381,13.313731794,13.965104986,7247,7247
3.5,G,7247,755.14341296,563.02817859,13.313731794,13.965104986,7247,7247
3.5,H,7247,823.00973595,568.30607599,13.313731794,13.965104986,7247,7247
3.5,I,7247,916.47842453,496.87738493,13.313731794,13.965104986,7247,7247
3.5,J,7247,883.12990209,570.04288523,13.313731794,13.965104986,7247,7247
3.5,K,7247,949.09617682,566.02483632,13.313731794,13.965104986,7247,7247
3.5,L,7247,1017.3961685,571.28035606,13.313731794,13.965104986,7247,7247
3.5,M,7247,953.91370856,633.66194536,13.313731794,13.965104986,7247,7247
3.5,N,7247,884.03689414,631.58302575,13.313731794,13.965104986,7247,7247
3.5,O,7247,978.80742276,499.228218,13.313731794,13.965104986,7247,7247
3.5,P,7247,1048.9411794,496.77922474,13.313731794,13.965104986,7247,7247
3.5,Q,7247,463.31340485,499.64159851,13.313731794,13.965104986,7247,7247
3.5,R,7247,664.30802741,499.35523635,13.313731794,13.965104986,7247,7247
3.5,S,7247,566.83112486,564.77987819,13.313731794,13.965104986,7247,7247
3.5,T,7247,726.19419227,496.80157817,13.313731794,13.965104986,7247,7247
3.5,U,7247,852.29269178,500.13152655,13.313731794,13.965104986,7247,7247
3.5,V,7247,761.22040105,632.41472871,13.313731794,13.965104986,7247,7247
3.5,W,7247,535.00517616,496.84332504,13.313731794,13.965104986,7247,7247
3.5,X,7247,635.87014771,634.04197388,13.313731794,13.965104986,7247,7247
3.5,Y,7247,788.43843237,498.82909396,13.313731794,13.965104986,7247,7247
3.5,Z,7247,562.8954834,632.2763916,13.313731794,13.965104986,7247,7247
4, ,7236,778.46632653,715.90780353,14.754606032,14.839490773,7236,7236
4,A,7236,456.61737733,562.54468491,14.754606032,14.839490773,7236,7236
4,B,7236,832.31859436,634.32513123,14.754606032,14.839490773,7236,7236
4,C,7236,685.22236649,634.04129861,14.754606032,14.839490773,7236,7236
